model,split,date,n_points,calendar_n_eval,calendar_violations,calendar_rate,calendar_severity,monotonicity_n_eval,monotonicity_violations,monotonicity_rate,monotonicity_severity,convexity_n_eval,convexity_violations,convexity_rate,convexity_severity,mean_instability,risk_flag_rate
interp_rbf,train,2008-01-30,1683,1552,278,0.1791237113402062,1.4862975924536288,1669,81,0.048532055122828044,0.00040373035176632417,1655,28,0.016918429003021148,inf,0.012523513446555641,0.42008318478906714
interp_rbf,train,2008-01-31,1651,1520,251,0.16513157894736843,0.9598568060586843,1637,80,0.04886988393402566,0.00011727888346373705,1623,42,0.025878003696857672,inf,0.014422886507404552,0.418534221683828
interp_rbf,train,2008-02-01,1668,1537,293,0.19063109954456733,1.1351460255295427,1654,66,0.03990326481257558,9.548463544513315e-05,1640,10,0.006097560975609756,inf,0.01423103715876442,0.4118705035971223
interp_rbf,train,2008-02-04,1668,1537,289,0.18802862719583605,1.349596479939168,1654,85,0.051390568319226115,0.00014287854104872878,1640,34,0.020731707317073172,inf,0.01265641659396932,0.434052757793765
interp_rbf,train,2008-02-05,1676,1545,270,0.17475728155339806,1.3342968758988034,1662,92,0.05535499398315283,0.0015497809790637029,1648,43,0.026092233009708737,inf,0.013865313018449437,0.43138424821002386
interp_rbf,train,2008-02-06,1671,1540,264,0.17142857142857143,1.1219944227656418,1657,94,0.056729028364514184,0.0013164608853885,1643,26,0.01582471089470481,inf,0.014415248135204839,0.4135248354278875
interp_rbf,train,2008-02-07,1664,1533,273,0.1780821917808219,1.3006102702133466,1650,98,0.059393939393939395,0.0002211176120747164,1636,33,0.020171149144254278,inf,0.015298123642139146,0.4248798076923077
interp_rbf,train,2008-02-08,1638,1507,262,0.1738553417385534,1.072479912993514,1624,83,0.05110837438423645,0.00014437252760485865,1610,46,0.02857142857142857,inf,0.013618956743105232,0.42002442002442003
interp_rbf,train,2008-02-11,1646,1515,273,0.1801980198019802,1.1267089522394496,1632,96,0.058823529411764705,0.0029402879566049114,1618,26,0.016069221260815822,inf,0.015382322582860018,0.43438639125151884
interp_rbf,train,2008-02-12,1641,1510,254,0.16821192052980133,1.234185385372363,1627,72,0.044253226797787336,0.00041175185230865217,1613,11,0.006819590824550527,inf,0.014084278829595072,0.3753808653260207
interp_rbf,train,2008-02-13,1631,1500,279,0.186,1.3370634991721118,1617,60,0.03710575139146568,0.00010294482505382801,1603,35,0.021834061135371178,inf,0.014612389955310648,0.41630901287553645
interp_rbf,train,2008-02-14,1629,1498,256,0.17089452603471295,1.125084421271222,1615,62,0.038390092879256967,0.0008578693506786887,1601,47,0.029356652092442224,inf,0.013890118476821865,0.41006752608962554
interp_rbf,train,2008-02-15,1600,1469,218,0.1484002722940776,0.9874580558170439,1586,75,0.04728877679697352,0.0015381022893394838,1572,29,0.018447837150127225,inf,0.01223660361717023,0.3625
interp_rbf,train,2008-02-19,1667,1536,268,0.17447916666666666,1.145972186109934,1654,65,0.039298669891172915,0.00035709361560408296,1641,16,0.009750152346130409,inf,0.01331811693442099,0.39532093581283745
interp_rbf,train,2008-02-20,1650,1519,275,0.18104015799868334,1.1291225208315179,1638,84,0.05128205128205128,7.536013891033725e-05,1626,22,0.013530135301353014,inf,0.013446631042219876,0.4206060606060606
interp_rbf,train,2008-02-21,1649,1518,289,0.1903820816864295,0.865579620322902,1637,62,0.037874160048869884,4.188640871198007e-05,1625,28,0.01723076923076923,inf,0.01420242920468006,0.42874469375379015
interp_rbf,train,2008-02-22,1630,1499,277,0.1847898599066044,0.876012332877337,1618,56,0.034610630407911,4.4731477278330595e-05,1606,13,0.00809464508094645,inf,0.014173682407957404,0.3932515337423313
interp_rbf,train,2008-02-25,1629,1498,266,0.17757009345794392,0.8207192063599295,1617,83,0.051329622758194186,0.0004543269944812404,1605,25,0.01557632398753894,inf,0.013990645208398447,0.4088397790055249
interp_rbf,train,2008-02-26,1622,1491,251,0.16834339369550638,0.7658693589451447,1610,69,0.04285714285714286,6.92613475066882e-05,1598,5,0.0031289111389236545,inf,0.013404672303484324,0.3810110974106042
interp_rbf,train,2008-02-27,1621,1490,263,0.17651006711409395,0.74352757718213,1609,74,0.04599129894344313,7.054325290465415e-05,1597,11,0.0068879148403256105,inf,0.01542677449738665,0.3942011104256632
interp_rbf,train,2008-02-28,1621,1490,268,0.17986577181208055,0.906965178297852,1609,56,0.03480422622747048,3.669511787301414e-05,1597,22,0.013775829680651221,inf,0.012773713216764843,0.40900678593460826
interp_rbf,train,2008-02-29,1633,1502,278,0.18508655126498003,1.013275837989852,1621,77,0.047501542257865514,0.001180555747638456,1609,28,0.01740211311373524,inf,0.014800111111353337,0.4329454990814452
interp_rbf,train,2008-03-03,1619,1488,262,0.1760752688172043,0.87796254581771,1607,78,0.04853764779091475,0.00019484306146247881,1595,28,0.01755485893416928,inf,0.015121912897511696,0.4051883878937616
interp_rbf,train,2008-03-04,1611,1480,248,0.16756756756756758,0.8576752185943352,1599,101,0.06316447779862414,0.00013275025175057015,1587,13,0.008191556395715185,inf,0.013851564592530246,0.39106145251396646
interp_rbf,train,2008-03-05,1599,1468,281,0.19141689373297002,0.8014704524636209,1587,70,0.04410838059231254,0.00016421739561780184,1575,22,0.013968253968253968,inf,0.014414452966618753,0.41963727329580985
interp_rbf,train,2008-03-06,1724,1593,310,0.194601381042059,1.9006555976072366,1712,92,0.053738317757009345,0.0025423087699660302,1700,17,0.01,inf,0.013895065232800081,0.447215777262181
interp_rbf,train,2008-03-07,1611,1480,264,0.1783783783783784,1.0565858657331764,1599,75,0.04690431519699812,3.936752144455856e-05,1587,34,0.02142407057340895,inf,0.013634998444639732,0.409683426443203
interp_rbf,train,2008-03-10,1622,1491,277,0.1857813547954393,1.3294301785197296,1610,95,0.059006211180124224,0.008465231614518069,1598,33,0.02065081351689612,inf,0.014980324317946695,0.4321824907521578
