model,split,date,n_points,calendar_n_eval,calendar_violations,calendar_rate,calendar_severity,monotonicity_n_eval,monotonicity_violations,monotonicity_rate,monotonicity_severity,convexity_n_eval,convexity_violations,convexity_rate,convexity_severity,mean_instability,risk_flag_rate
conditional_surface,train,2008-02-12,1641,1510,176,0.11655629139072848,0.040072479514917526,1627,0,0.0,0.0,1613,0,0.0,0.0,0.002729598804182484,0.21084704448507008
conditional_surface,train,2008-02-13,1631,1500,195,0.13,0.0437560941041818,1617,0,0.0,0.0,1603,0,0.0,0.0,0.0020029835319804413,0.23666462293071736
conditional_surface,train,2008-02-14,1629,1498,142,0.09479305740987984,0.021865817727931267,1615,0,0.0,0.0,1601,0,0.0,0.0,0.002948194780026685,0.17065684468999387
conditional_surface,train,2008-02-15,1600,1469,218,0.1484002722940776,0.04813632794640794,1586,0,0.0,0.0,1572,0,0.0,0.0,0.002430413366890367,0.27
conditional_surface,train,2008-02-19,1667,1536,18,0.01171875,0.0003162372577070534,1654,0,0.0,0.0,1641,0,0.0,0.0,0.0014552088630711587,0.021595680863827234
conditional_surface,train,2008-02-20,1650,1519,127,0.0836076366030283,0.02238186434275223,1638,2,0.001221001221001221,7.883338913216105e-09,1626,0,0.0,0.0,0.001934308538774872,0.15636363636363637
conditional_surface,train,2008-02-21,1649,1518,0,0.0,0.0,1637,0,0.0,0.0,1625,0,0.0,0.0,0.001506876618491084,0.0
conditional_surface,train,2008-02-22,1630,1499,33,0.022014676450967312,0.001958435837014224,1618,1,0.0006180469715698393,1.6995459640128949e-09,1606,0,0.0,0.0,0.0015995712415431363,0.04171779141104295
conditional_surface,train,2008-02-25,1629,1498,95,0.06341789052069426,0.010544925218350916,1617,4,0.0024737167594310453,2.2323163099506257e-08,1605,0,0.0,0.0,0.0019369727841948231,0.12154696132596685
conditional_surface,train,2008-02-26,1622,1491,0,0.0,0.0,1610,1,0.0006211180124223603,1.2637495786928368e-09,1598,0,0.0,0.0,0.0017478144157123975,0.0012330456226880395
conditional_surface,train,2008-02-27,1621,1490,0,0.0,0.0,1609,1,0.0006215040397762585,1.4527703072565224e-09,1597,0,0.0,0.0,0.0016967895064125826,0.0012338062924120913
conditional_surface,train,2008-02-28,1621,1490,0,0.0,0.0,1609,0,0.0,0.0,1597,0,0.0,0.0,0.0017950058313887828,0.0
conditional_surface,train,2008-02-29,1633,1502,94,0.06258322237017311,0.009524048131314737,1621,0,0.0,0.0,1609,0,0.0,0.0,0.0022621566899331215,0.11512553582363748
conditional_surface,train,2008-03-03,1619,1488,90,0.06048387096774194,0.006075992346030637,1607,0,0.0,0.0,1595,0,0.0,0.0,0.0020036371249232024,0.11117974058060531
conditional_surface,train,2008-03-04,1611,1480,111,0.075,0.013525319207631753,1599,1,0.0006253908692933083,1.88495092568043e-09,1587,0,0.0,0.0,0.0019942818048415637,0.13904407200496585
conditional_surface,train,2008-03-05,1599,1468,109,0.07425068119891008,0.013478370901185647,1587,0,0.0,0.0,1575,0,0.0,0.0,0.0018865533545175278,0.13633520950594122
conditional_surface,train,2008-03-06,1724,1593,144,0.0903954802259887,0.01706217044841518,1712,0,0.0,0.0,1700,0,0.0,0.0,0.0021301211019004516,0.16705336426914152
conditional_surface,train,2008-03-07,1611,1480,152,0.10270270270270271,0.025084394514983555,1599,0,0.0,0.0,1587,0,0.0,0.0,0.0020483728271238873,0.18870266914959652
conditional_surface,train,2008-03-10,1622,1491,209,0.14017437961099932,0.0418053175944829,1610,0,0.0,0.0,1598,0,0.0,0.0,0.0022898417882702806,0.25770653514180025
conditional_surface,train,2008-03-11,1610,1479,146,0.09871534820824882,0.04875400669308438,1598,2,0.0012515644555694619,4.234518916513177e-09,1586,0,0.0,0.0,0.0022351910240884375,0.18322981366459629
conditional_surface,train,2008-03-12,1608,1477,213,0.14421123899796887,0.08053896845114579,1596,2,0.0012531328320802004,6.4450715089166336e-09,1584,0,0.0,0.0,0.0022238633782469624,0.2667910447761194
conditional_surface,train,2008-03-13,1608,1477,142,0.0961408259986459,0.03284700563841514,1596,0,0.0,0.0,1584,0,0.0,0.0,0.0031582328520160267,0.17661691542288557
conditional_surface,val,2020-11-12,9219,8952,173,0.019325290437890975,0.44495233182140403,9186,75,0.008164598301763554,0.004983668052204763,9153,94,0.010269856877526493,2.545255400268693,0.0015154551293951794,0.05250027117908667
conditional_surface,val,2020-11-13,9066,8800,153,0.017386363636363637,0.2847850010362702,9033,112,0.012398981512232924,0.010163871270937527,9000,126,0.014,1.7418730614750932,0.0013200030117389433,0.05890138980807412
conditional_surface,val,2020-11-16,8823,8557,14,0.0016360874138132524,0.001304218629030236,8791,170,0.01933795927653282,0.004259085864825071,8759,24,0.002740038817216577,0.24265820896997023,0.00194825514403248,0.028221693301598096
conditional_surface,val,2020-11-17,8829,8561,193,0.022544095315967762,0.3396600560359649,8796,114,0.01296043656207367,0.010538351476714967,8763,142,0.016204496177108296,4.573875209231493,0.0015097180097476829,0.06512628836787858
conditional_surface,val,2020-11-18,8731,8463,187,0.022096183386505968,0.33747154378078603,8699,101,0.011610529945970801,0.009302468103542837,8667,115,0.013268720433829468,5.179043908466398,0.0015322114063029634,0.060016034818462946
conditional_surface,val,2020-11-19,8673,8405,172,0.020464009518143964,0.33597063763700286,8641,102,0.011804189329938665,0.009505343098219354,8609,116,0.013474271111627367,3.8848552787133457,0.001406241763485618,0.059494984434451746
conditional_surface,val,2020-11-20,8480,8212,5,0.0006088650754992694,0.002952169611460248,8448,282,0.033380681818181816,0.01421799258224376,8416,66,0.007842205323193916,1.1002576592826823,0.0023127812977010434,0.05400943396226415
conditional_surface,val,2020-11-23,8257,7989,41,0.005132056577794467,0.0952657080541687,8226,222,0.02698760029175784,0.024803337059710818,8195,91,0.011104331909701037,2.7109886097690237,0.002188177765300243,0.05873804045052682
conditional_surface,val,2020-11-24,8261,7993,177,0.02214437632928813,0.3423775453613575,8229,116,0.014096488030137319,0.012497259834734563,8197,89,0.010857630840551422,1.9794306436416882,0.0015832766832181687,0.06197796876891418
conditional_surface,val,2020-11-25,8332,8057,9,0.001117041082288693,0.0006366589735103388,8300,235,0.028313253012048192,0.010278989509634018,8268,47,0.005684567005321722,0.5516350099195175,0.0020934291480420256,0.045727316370619296
conditional_surface,val,2020-11-27,8238,7963,4,0.0005023232450081628,0.0014960423039516793,8206,209,0.02546916890080429,0.01190563406867035,8174,43,0.005260582334230487,0.7152706478315946,0.0016909297618443169,0.04333576110706482
conditional_surface,val,2020-11-30,8078,7803,164,0.02101755734973728,0.43716364827023135,8047,109,0.013545420653659749,0.010193316375125865,8016,73,0.009106786427145708,2.3606826601045374,0.0016488641419123908,0.06437236939836594
conditional_surface,val,2020-12-01,8159,7884,5,0.0006341958396752917,0.0022380941751568156,8127,222,0.027316352897748246,0.012177113721258041,8095,39,0.004817788758492897,0.5902665174105544,0.0025005808428477296,0.047187155288638316
conditional_surface,val,2020-12-02,8009,7734,151,0.01952417895009051,0.3187463757218167,7978,131,0.01642015542742542,0.013124007726656398,7947,78,0.009815024537561345,1.6587507391411498,0.0017322755738504209,0.06530153577225621
conditional_surface,val,2020-12-03,8146,7869,34,0.004320752319227347,0.0055191840038353104,8114,259,0.03192013803302933,0.01499251963913548,8082,57,0.007052709725315516,0.8968554838541627,0.002449922136999324,0.04910385465259023
conditional_surface,val,2020-12-04,8076,7800,39,0.005,0.015820516501761195,8044,267,0.033192441571357534,0.02298773564417464,8012,54,0.00673989016475287,1.7149969918511798,0.00210200022774583,0.05609212481426449
conditional_surface,val,2020-12-07,8015,7739,47,0.006073136064090968,0.019084089106318286,7984,292,0.03657314629258517,0.026148510419487937,7953,70,0.008801710046523324,2.817023908625636,0.0020763696172266784,0.0595134123518403
