pc_idx,raw_dim_idx,loading
6,39,0.12937943977854122
6,41,-0.0855769515720722
6,44,0.24605393702796755
6,46,0.06694771397661373
6,48,-0.05205032549955254
6,49,-0.14371944937744321
6,50,-0.13303569056700976
6,52,0.05342715160086187
6,53,-0.09778667616746393
6,55,0.14874050103345385
6,56,-0.11511018718906263
6,57,0.23754311503512282
6,58,0.17747455619986274
6,59,-0.05989980194686222
6,60,-0.08953593972871716
6,61,0.2243718954728117
6,62,0.24362791773330575
6,63,0.18948873722992954
7,0,-0.05118997581158519
7,1,0.11216315315819332
7,2,-0.2377343185707998
7,4,0.06439110926784201
7,5,-0.13023830191083563
7,6,-0.2377985600030288
7,7,-0.26554967496706194
7,8,0.06146599456097451
7,9,0.058948525560531984
7,10,-0.08636453048943088
7,11,0.08590612641805535
7,13,-0.16103404469518834
7,15,0.07811726225604505
7,16,0.05559549331143287
7,19,-0.07019664206958107
7,21,-0.17166028004765999
7,23,-0.25218227757223566
7,24,0.09922550401754181
7,26,0.09839223249940142
7,27,-0.23357515940949364
7,28,-0.07261459426828831
7,29,0.18809307884430107
7,30,-0.156601943218632
7,32,0.17094188513416625
7,33,-0.09572520256293648
7,36,-0.05790581170313588
7,37,-0.1128173987467706
7,38,-0.1460821673462998
7,39,0.10689875235336879
7,40,0.20620041409926623
7,41,0.17036747526619841
7,42,0.2849635609423542
7,43,0.06822596101622892
7,44,0.22307256465921493
7,45,-0.14047790383343334
7,47,-0.09560549308989118
7,48,-0.13176289698446864
7,50,0.09412158267769659
7,52,-0.21499584367779287
7,53,0.09128313622302847
7,55,-0.20183103166336902
7,56,-0.12292440405607262
7,58,-0.08114611982733289
7,61,-0.0909607270203077
8,0,0.07085733006101425
8,1,0.13545378613514805
8,2,0.09372871549848687
8,3,0.08154041231441177
8,4,-0.07118702812680247
8,7,0.10500628434895479
8,8,0.2798169109620037
8,9,-0.23589940261324327
8,10,-0.21718878728136748
8,11,0.07689144041746826
8,13,-0.14191366088863047
8,14,0.11363819423165492
8,15,0.20305124884782813
8,16,0.17506050593236575
8,17,0.13725593176601256
8,18,-0.07703807932837886
8,19,0.1587420328279896
8,20,-0.06735560719908514
8,21,0.2285620797059039
8,22,0.10043087471042739
8,24,-0.2172057317388425
8,25,-0.060499193141997275
8,28,-0.10920449941006624
8,29,0.11145437975995955
8,30,0.10555422705603415
8,31,0.11250930188627727
8,33,0.1654140362311734
8,35,0.1741255704654003
8,36,-0.23937043191549873
8,37,-0.2128065520200995
8,38,0.08709541070107824
8,39,-0.1242011583263093
8,40,-0.0792325887516871
8,42,-0.06607322181936977
8,43,0.0608632581507063
8,45,-0.1934964130067711
8,46,-0.13334705391392185
8,47,-0.06682080404627182
8,48,-0.09339329766473872
8,49,-0.1255699435611409
8,50,0.09231516674801461
8,52,-0.10425487866833254
8,53,0.12617654542877554
